Account, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
Exchange Rates,Account,,,false,label only,false,,<none>,<none>,,,unspecified,none,,,,false,true,66e9e67a-fd7f-41e2-8794-5e1af8840287,2127871171314977,Exchange Rates,<none>,revenue,average,missing,none,non-expense,FinPlan,true,~,label only,<none>,0,,true,+,label only,<none>,0,,
FX Rates - Average,Exchange Rates,,,false,store,false,,<none>,<none>,HSP_NOLINK,,unspecified,none,,,,false,true,8ab75d76-fce4-4646-ac33-d1697b4b642d,4357562394035590,FX Rates - Average,<none>,revenue,average,missing,none,non-expense,FinPlan,true,~,store,<none>,0,,true,~,store,<none>,0,,
FX Rates - Ending,Exchange Rates,,,false,store,false,,<none>,<none>,HSP_NOLINK,,unspecified,none,,,,false,true,cb7e755c-3ae0-4386-a967-3569c792aacd,1263424757121078,FX Rates - Ending,<none>,revenue,average,missing,none,non-expense,FinPlan,true,~,store,<none>,0,,true,~,store,<none>,0,,
999999,Account,999999-All Accounts,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,6a217f0c-fda6-4a37-b0c9-41e4f9f6edec,1832397149717798,999999,<none>,asset,balance,none,none,non-expense,FinPlan,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
Balance Sheet,999999,,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,b3fc2e4a-488b-448f-b9ce-790bb908988f,276698867777592,Balance Sheet,<none>,asset,balance,none,none,non-expense,FinPlan,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
100000,Balance Sheet,100000-Assets,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,8b550548-14eb-4ddc-b8d9-cfd13a923962,2770902071856988,100000,<none>,asset,balance,none,none,non-expense,FinPlan,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
110000,100000,110000-Current Assets,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,b580dbc8-c311-4da5-9739-806efa4a4f1e,2534879098060829,110000,<none>,asset,balance,none,none,non-expense,FinPlan,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
111000,110000,111000-Cash and Cash Equivalent,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,be767451-67e1-4f3e-b580-fb69f1371ba0,1941095716440997,111000,<none>,asset,balance,none,none,non-expense,FinPlan,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
111100,111000,111100-House Banks,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,460d33bf-5385-4866-8267-4f92c39923fa,2914640536946996,111100,<none>,asset,balance,none,none,non-expense,FinPlan,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
111110,111100,111110-House Banks: Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,cdaab50a-dca1-4db4-8aa8-91d425a4af6b,2926286352040398,111110,<none>,asset,balance,none,none,non-expense,FinPlan,true,+,store,<none>,0,,true,+,store,<none>,0,,
