CostCenter, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
Total CostCenter,CostCenter,Total CostCenter,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,38068daf-70eb-4ec2-bad5-30f508ef82c8,4339762696372591,Total CostCenter,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC9999,Total CostCenter,9999-All Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,86267971-4d16-4b50-b40d-425caa7281d4,1176869783553559,CC9999,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC0000,CC9999,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,15090140-1e23-48f3-b41b-d3289b47eb63,4138855579011168,CC0000,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1000,CC9999,1000-Summary - Hotel Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,3f214776-e378-4b28-a2ac-d734df9b5e1d,3544715642946567,CC1000,[CC9999].[CC1000],true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC1100,CC1000,1100-Rooms Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,86c7dcdc-d8c7-46d2-a0ad-2c28888684c5,1271235334194424,CC1100,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC1110,CC1100,1110-Club Level,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,576faa7f-6b8c-4676-b061-6515e23d6da0,1282188792843018,CC1110,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
101110HCL,CC1100,COS 1110-Club Level,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,1ab512cf-cefa-46c2-bb2f-e7fb99aadf2b,942988270650241,101110HCL,[CC1100].[101110HCL],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1120,CC1100,1120-Rooms,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,3f102a26-7878-4f36-93c4-6e01c442edf3,348035842525778,CC1120,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC1121,CC1120,1121-Rooms - On Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,67edcbce-0807-4b17-b49a-c0674cee836b,2430875931133656,CC1121,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1122,CC1120,1122-Rooms - Off Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,55936d03-8891-4e7f-a92f-250b4ddcc5c8,616086220850635,CC1122,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1123,CC1120,1123-Rooms - Home Office,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c305db28-9b8b-4fb6-be3b-5d3625e385f9,3043782906105238,CC1123,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
101121HRM,CC1120,COS 1121-Rooms - On Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,fdafff83-3012-4945-9637-3f261c58db27,1821928967784451,101121HRM,[CC1120].[101121HRM],true,+,store,<none>,0,,true,+,store,<none>,0,,
101122HRM,CC1120,COS 1122-Rooms - Off Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,87b5b7d5-de6b-4b30-b623-70255d9d97dd,4151337804648044,101122HRM,[CC1120].[101122HRM],true,+,store,<none>,0,,true,+,store,<none>,0,,
101123HRM,CC1120,COS 1123-Rooms - Home Office,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,bd005ad0-0fd3-4a0e-bb37-f06d86d9a8df,2552141667649502,101123HRM,[CC1120].[101123HRM],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1130,CC1100,1130-Reservations,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,8f79c293-3c02-4432-96d6-a4d2cb9cb33c,4072290164165473,CC1130,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC1131,CC1130,1131-Reservations - On Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,46585a02-08c7-4bf0-b227-bc411bc6c967,803487450481610,CC1131,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1132,CC1130,1132-Reservations - Off Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c3c9cda0-98ae-4bb7-90cb-799c14a24b2b,2543832353229352,CC1132,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1133,CC1130,1133-Reservations - Home Office,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,d716f515-2925-476b-846c-3a190327dbe4,4084715861000958,CC1133,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
101131HRS,CC1130,COS 1131-Reservations - On Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,cef3cc4a-54b5-4256-b3c9-585919cb6334,1487445997801100,101131HRS,[CC1130].[101131HRS],true,+,store,<none>,0,,true,+,store,<none>,0,,
101132HRS,CC1130,COS 1132-Reservations - Off Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c877abf0-afa0-4ab5-b0c6-06a00634920e,4462620356722957,101132HRS,[CC1130].[101132HRS],true,+,store,<none>,0,,true,+,store,<none>,0,,
