Entity, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Base Currency, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
Total Entity,Entity,Total Entity,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,da5e3dd7-3e8a-426a-8764-53fff7c552f0,1045444365862721,Total Entity,<none>,USD,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
All Entity,Total Entity,All Entity,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,449d99d4-614e-4fe9-8e90-6f3edaba8201,3144306395138276,All Entity,<none>,USD,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
E100,All Entity,100-Lotte Hotel,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,895306ec-b7d1-4af9-8a59-b233c79c2ddf,4292162147665912,E100,<none>,USD,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
E101,E100,101-NY Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,64b28ab0-f147-43ec-8e9e-ab3799be7f72,1509188192324492,E101,<none>,USD,true,+,store,<none>,0,,true,+,store,<none>,0,,
E102,E100,102-Seattle Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,f08eaf63-e790-45ad-9acb-b00bc373dfd2,1653059108095848,E102,<none>,USD,true,+,store,<none>,0,,true,+,store,<none>,0,,
E500,All Entity,500-L7 Hotel,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,b858cbf3-fcbb-4096-8d6e-137e34fe2032,1610435081883114,E500,<none>,USD,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
E501,E500,501-L7 Chicago Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,bb225ff2-8763-460b-9117-f56a4c5a730e,4075923906055253,E501,<none>,USD,true,+,store,<none>,0,,true,+,store,<none>,0,,
E502,E500,502-L7 Chicago Hotel 2,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,507c85ac-69ec-4146-8ae9-de00396d4818,3544671921524445,E502,<none>,USD,true,+,store,<none>,0,,true,+,store,<none>,0,,
E503,E500,503-L7 Chicago Hotel 3,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5b16d842-f1bf-449b-acc6-87d8ffb6488f,1068645517902345,E503,<none>,USD,true,+,store,<none>,0,,true,+,store,<none>,0,,
E800,All Entity,800-Signiel Hotel,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,1debec82-a887-41e4-b379-d8032bfe2424,3009595046907568,E800,<none>,USD,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
E801,E800,801-SG Hotel 1,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,6c2d0191-5e16-4c11-be18-ec4f6c430f29,2123403619748270,E801,<none>,USD,true,+,store,<none>,0,,true,+,store,<none>,0,,
E900,All Entity,900-Elimination Hotel,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,d868a19e-c629-4105-b4d7-45d7152c7666,1788021388233562,E900,<none>,USD,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
E901,E900,901-Elim Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,fc7ed371-5e0a-4966-a667-77a3c578dbc5,696690183393055,E901,<none>,USD,true,+,store,<none>,0,,true,+,store,<none>,0,,
No Entity,Entity,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,a77bdba7-4c30-4e8c-b441-c9b45ea4e3c3,2046887204503910,No Entity,<none>,USD,true,~,store,<none>,0,,true,~,store,<none>,0,,
